X	Y
172.737	2069.69
173.076	2085.88
173.414	2105.25
173.753	2121.50
174.092	2140.06
174.430	2171.38
174.769	2191.38
175.108	2202.88
175.447	2199.25
175.785	2203.06
176.124	2206.94
176.463	2207.31
176.801	2206.12
177.140	2198.50
177.479	2191.44
177.818	2186.69
178.156	2195.50
178.495	2197.62
178.834	2199.12
179.172	2198.31
179.511	2203.94
179.850	2210.31
180.188	2210.81
180.527	2201.06
180.866	2179.62
181.204	2169.50
181.543	2164.94
181.882	2154.00
182.221	2142.44
182.559	2133.44
182.898	2110.31
183.237	2090.38
183.575	2070.19
183.914	2065.56
184.253	2058.44
184.592	2040.75
184.930	2020.69
185.269	1996.75
185.608	1966.81
185.946	1929.06
186.285	1866.88
186.624	1793.62
186.962	1698.56
187.301	1580.81
187.640	1436.31
187.979	1302.25
188.317	1152.25
188.656	988.56
188.995	842.81
189.333	716.50
189.672	627.75
190.011	547.25
190.349	492.12
190.688	437.56
191.027	405.25
191.365	371.81
191.704	342.31
192.043	319.06
192.382	300.62
192.720	285.38
193.059	273.00
193.398	260.94
193.736	252.31
194.075	240.88
194.414	228.38
194.753	220.25
195.091	206.31
195.430	202.06
195.769	199.94
196.107	196.06
196.446	189.88
196.785	186.56
197.123	183.31
197.462	180.38
197.801	177.94
